3974,2015-12-18 23:25:33,2015-12-19 01:29:56
3974,2015-12-18 23:08:16,2015-12-18 23:25:21
0128,2015-11-13 23:00:34,2015-11-14 01:34:53
8419,2015-11-13 23:00:37,2015-11-14 01:33:37
9330,2015-11-13 23:54:17,2015-11-14 01:28:02
3974,2015-11-13 23:04:36,2015-11-14 01:27:53
9716,2015-11-13 23:08:18,2015-11-14 01:23:51
9824,2015-11-13 23:05:09,2015-11-14 01:20:36
9645,2015-11-14 00:55:38,2015-11-14 01:18:45
8544,2015-11-13 23:03:08,2015-11-14 01:18:23
6099,2015-11-13 23:16:32,2015-11-14 01:17:58
4857,2015-11-13 23:05:13,2015-11-14 01:10:02
5255,2015-11-14 01:05:52,2015-11-14 01:07:04
5255,2015-11-13 23:09:12,2015-11-14 01:05:47
2524,2015-11-13 23:02:21,2015-11-14 01:04:16
2194,2015-11-13 23:15:28,2015-11-14 01:02:36
4629,2015-11-13 23:07:46,2015-11-14 01:02:27
4047,2015-11-14 00:19:39,2015-11-14 01:01:53
0219,2015-11-13 23:02:01,2015-11-14 01:00:58
0552,2015-11-13 23:03:13,2015-11-14 01:00:19
8503,2015-11-13 23:02:35,2015-11-14 00:56:23
9645,2015-11-14 00:50:53,2015-11-14 00:55:37
8530,2015-11-13 23:37:54,2015-11-14 00:55:28
0123,2015-11-13 23:04:57,2015-11-14 00:51:30
2297,2015-11-13 23:37:55,2015-11-14 00:51:26
9949,2015-11-13 23:05:05,2015-11-14 00:51:18
2991,2015-11-13 23:27:09,2015-11-14 00:51:13
8313,2015-11-13 23:07:06,2015-11-14 00:51:05
3350,2015-11-14 00:17:08,2015-11-14 00:50:50
8314,2015-11-13 23:05:20,2015-11-14 00:49:49
7081,2015-11-13 23:04:44,2015-11-14 00:43:11
0644,2015-11-13 23:04:17,2015-11-14 00:39:41
9645,2015-11-13 23:04:15,2015-11-14 00:32:42
237,2015-11-07 05:18:15,2015-11-07 11:02:43
237,2015-11-07 05:00:43,2015-11-07 05:05:56
26,2015-11-07 04:40:41,2015-11-07 04:52:46
237,2015-11-07 04:31:21,2015-11-07 04:45:20
237,2015-11-07 04:26:27,2015-11-07 04:29:09
237,2015-11-07 04:17:51,2015-11-07 04:18:04
237,2015-11-07 04:09:52,2015-11-07 04:16:26
5255,2015-11-06 23:08:15,2015-11-07 01:41:20
6099,2015-11-06 23:05:15,2015-11-07 01:40:25
9645,2015-11-07 00:46:32,2015-11-07 01:37:20
2150,2015-11-07 01:33:09,2015-11-07 01:33:32
3974,2015-11-06 23:30:24,2015-11-07 01:32:46
9330,2015-11-06 23:00:14,2015-11-07 01:32:40
2974,2015-11-06 23:06:01,2015-11-07 01:32:24
4047,2015-11-06 23:14:19,2015-11-07 01:32:09
6582,2015-11-06 23:05:40,2015-11-07 01:30:15
0123,2015-11-06 23:04:22,2015-11-07 01:28:44
2194,2015-11-06 23:06:26,2015-11-07 01:28:01
7081,2015-11-06 23:03:15,2015-11-07 01:26:47
0552,2015-11-06 23:02:59,2015-11-07 01:26:36
8419,2015-11-06 23:03:35,2015-11-07 01:23:09
4857,2015-11-06 23:04:57,2015-11-07 01:14:48
9716,2015-11-06 23:04:39,2015-11-07 01:14:17
9949,2015-11-06 23:04:18,2015-11-07 01:06:21
4629,2015-11-06 23:16:19,2015-11-07 01:05:35
2524,2015-11-06 23:06:25,2015-11-07 00:59:02
3122,2015-11-06 23:06:23,2015-11-07 00:58:13
8544,2015-11-06 23:03:13,2015-11-07 00:58:10
8675,2015-11-06 23:05:54,2015-11-07 00:57:02
8503,2015-11-06 23:03:08,2015-11-07 00:56:12
8321,2015-11-06 23:07:57,2015-11-07 00:55:40
6399,2015-11-06 23:06:47,2015-11-07 00:55:25
6398,2015-11-06 23:06:43,2015-11-07 00:54:55
2991,2015-11-06 23:08:29,2015-11-07 00:49:17
2297,2015-11-06 23:05:37,2015-11-07 00:48:51
8530,2015-11-06 23:05:21,2015-11-07 00:48:43
9645,2015-11-06 23:04:28,2015-11-07 00:44:13
8314,2015-11-06 23:05:07,2015-11-07 00:43:32
6171,2015-11-06 23:04:09,2015-11-07 00:36:16
0644,2015-11-06 23:14:25,2015-11-07 00:36:12
6248,2015-11-06 23:05:32,2015-11-07 00:35:55
0219,2015-11-06 23:03:41,2015-11-07 00:33:02
3033,2015-11-06 23:45:26,2015-11-06 23:45:30
3033,2015-11-06 23:05:44,2015-11-06 23:45:25
8503,2015-11-06 23:02:39,2015-11-06 23:03:07
8311,2015-11-06 23:02:50,2015-11-06 23:03:03
